lead,time_from_QRS_s,high_pointwise_2.5pct,high_pointwise_97.5pct,low_pointwise_2.5pct,low_pointwise_97.5pct,difference_pointwise_2.5pct,difference_pointwise_97.5pct,IG_pointwise_2.5pct,IG_pointwise_97.5pct
I,-0.4,-0.00623137182847131,-0.00012037120495733754,-0.008984430693089962,-0.005484195932513105,0.0008973547854111533,0.008003240635116525,0.00012047171624399726,0.00014488461617226297
I,-0.39,-0.006412640407506842,0.0007177764197990647,-0.011079628253355622,-0.007695318289916032,0.0021879635169170797,0.010814097613183546,0.00012171428824695267,0.00014582901040067348
I,-0.38,-0.004464253317564726,0.0009360759180708553,-0.01158108003437519,-0.007600606142659673,0.004553384796599858,0.01178105193430383,0.00011805660843457659,0.0001365526583490092
I,-0.37,-0.0028149824764113875,0.003371449222322552,-0.012738237495068461,-0.008871501582325438,0.0071194209682289514,0.014415443870529997,0.00011263475840114696,0.00012771036017530243
I,-0.36,-0.002901897316769464,0.0017932073344127182,-0.013032070477493107,-0.010244619334116578,0.008452544370993565,0.013947953592651174,0.00011076247769692669,0.00012687639093025298
I,-0.35,-0.004429258406162262,0.00226354761980474,-0.01417966156732291,-0.01039813035167754,0.007681239114026539,0.01527868474531715,0.00011804214056669264,0.00014027059520752024
I,-0.34,-0.0018812626163708045,0.004225240199593827,-0.014591901953099295,-0.010961215978022664,0.00993593098319252,0.017512043886563328,0.00011486194673244504,0.00013414782207934434
I,-0.33,-0.003126733673707349,0.002643806673586368,-0.016132961492985487,-0.01190158724784851,0.009467237698845565,0.01697376379797788,0.00010944670630320563,0.00012770258152267752
I,-0.32,-0.0017854447134595828,0.004602172877639532,-0.016105761751532555,-0.012902284041047096,0.012259872377035208,0.01896606321170111,0.00011049896087340763,0.0001280099021519424
I,-0.31,-0.0005728655407438055,0.0031101356726139784,-0.01762390322983265,-0.013741532739368269,0.013779719519834543,0.019432920039253076,0.00010566597924472742,0.00012326738699506426
I,-0.3,-0.0004927406816932488,0.0044254456021007955,-0.017166483821347354,-0.013916082167997957,0.014438784425891527,0.02083708983118412,0.00010971473485227902,0.00012556890625957395
I,-0.29,0.0010259964226861486,0.005592234930372795,-0.018216798186767847,-0.015474861342227086,0.01745451954193413,0.022907692939043045,0.00010310432567224038,0.0001186819401236523
I,-0.28,0.00019717576942639427,0.004817210440523921,-0.018024980276823043,-0.014620677317725494,0.01653002280581859,0.02189792573626619,0.00010122813029094286,0.00011546472189507555
I,-0.27,-0.0003210138835129328,0.0041185705922544,-0.018234216357814147,-0.014972632809076458,0.015785635848442326,0.021114474500063804,9.695695354055825e-05,0.00011107246308218414
I,-0.26,-0.001508101006038487,0.0033062464031900106,-0.017986146733164787,-0.01442660961765796,0.013776349947147538,0.020026516304460524,9.717247626998237e-05,0.00011198953445820567
I,-0.25,-0.0016636963557630224,0.00308750813419465,-0.01788686805521138,-0.014393648249097168,0.014075380960821348,0.02005624801968224,9.466203147167506e-05,0.00010885957499268694
I,-0.24,-0.001091673388145864,0.0034325756918406037,-0.017649456800427288,-0.014581757516134532,0.01462471673771688,0.020175453175761502,9.523659226756806e-05,0.00011007741664327893
