cohort,n,events,patients,risk_group,group_n,group_events,group_fraction,group_event_rate
external_article_saved,290920,3619,203825,low,177255,742,0.6092912140794721,0.004186059631604186
external_article_saved,290920,3619,203825,intermediate,104731,1681,0.35999931252578027,0.016050644030898207
external_article_saved,290920,3619,203825,high,8934,1196,0.030709473394747697,0.13387060667114395
